Kruskal: ba graph with V=1000, E=58170, 0.003183970 secs, 4999 edge scans, 1101152 w comps, 9998 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 11.492371797

SCFcach(K=2): ba graph with V=1000, E=76760, 0.000504164 secs, 223960 edge scans, 426956 w comps, 0 uf ops, 1998 pq ops, 3730 component updates, 8332/210658 cache checks for best/worst, with MST weight 8.918819811
 Prim  : ba graph with V=1000, E=76760, 0.000536720 secs, 153520 edge scans, 75761 w comps, 0 uf ops, 6231 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 8.918819811
Boruvka: ba graph with V=1000, E=76760, 0.001006218 secs, 307040 edge scans, 580548 w comps, 616636 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 8.918819811
Kruskal: ba graph with V=1000, E=76760, 0.004566134 secs, 7757 edge scans, 1477474 w comps, 15514 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 8.918819811

SCFcach(K=2): ba graph with V=1000, E=94950, 0.000533296 secs, 267017 edge scans, 513431 w comps, 0 uf ops, 1998 pq ops, 3626 component updates, 8038/254008 cache checks for best/worst, with MST weight 7.201035956
 Prim  : ba graph with V=1000, E=94950, 0.000687886 secs, 189900 edge scans, 93951 w comps, 0 uf ops, 6404 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 7.201035956
Boruvka: ba graph with V=1000, E=94950, 0.001235096 secs, 379800 edge scans, 603099 w comps, 762102 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 7.201035956
Kruskal: ba graph with V=1000, E=94950, 0.005713902 secs, 4981 edge scans, 1886187 w comps, 9962 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 7.201035956

SCFcach(K=2): ba graph with V=1000, E=112740, 0.000570070 secs, 313646 edge scans, 605803 w comps, 0 uf ops, 1998 pq ops, 3610 component updates, 7960/300199 cache checks for best/worst, with MST weight 6.254375984
 Prim  : ba graph with V=1000, E=112740, 0.000718842 secs, 225480 edge scans, 111741 w comps, 0 uf ops, 6424 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 6.254375984
Boruvka: ba graph with V=1000, E=112740, 0.001577248 secs, 450960 edge scans, 768759 w comps, 904438 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 6.254375984
Kruskal: ba graph with V=1000, E=112740, 0.007003816 secs, 5603 edge scans, 2314118 w comps, 11206 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 6.254375984

SCFcach(K=2): ba graph with V=1000, E=130130, 0.000604642 secs, 356628 edge scans, 696251 w comps, 0 uf ops, 1998 pq ops, 3499 component updates, 7686/345504 cache checks for best/worst, with MST weight 5.226707149
 Prim  : ba graph with V=1000, E=130130, 0.000836276 secs, 260260 edge scans, 129131 w comps, 0 uf ops, 6658 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 5.226707149
Boruvka: ba graph with V=1000, E=130130, 0.001951556 secs, 520520 edge scans, 914984 w comps, 1043612 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 5.226707149
